frameIndex;frameTime;mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12]
39;0.390000;-1.661400e+01;7.937148e+00;-1.161169e+01;-9.828349e+00;-1.685404e+01;-1.979517e+01;-1.111562e+01;-7.143105e+00;1.671981e+00;-6.054800e+00;-1.128365e+01;-7.681046e+00
40;0.400000;-1.948524e+01;5.066750e+00;-9.255318e+00;-9.638336e+00;-1.807944e+01;-2.233705e+01;-1.070719e+01;-6.780262e+00;-1.516062e+00;-6.319629e+00;-7.137462e+00;-8.226170e+00
41;0.410000;-2.103778e+01;4.727464e+00;-8.749162e+00;-1.071068e+01;-1.647374e+01;-1.868318e+01;-8.231853e+00;-6.288397e+00;-2.884700e-01;-7.037641e+00;-6.650390e+00;-3.922174e+00
42;0.420000;-1.923816e+01;4.547639e+00;-6.722512e+00;-7.941229e+00;-1.500476e+01;-1.419829e+01;-5.218354e+00;-3.130970e+00;2.133648e+00;-6.767039e+00;-7.501637e+00;-6.724804e+00
43;0.430000;-1.442547e+01;6.594140e+00;-4.694343e+00;-5.946156e+00;-1.122396e+01;-8.501254e+00;3.161834e-01;-8.246561e-01;3.546966e+00;-6.233086e+00;-1.016168e+01;-1.151962e+01
44;0.440000;-1.171382e+01;5.986522e+00;-2.652958e+00;-4.043586e+00;-1.092050e+01;-9.174223e+00;8.426332e-01;-1.402216e-01;4.940360e-01;-8.207094e+00;-1.446218e+01;-1.640198e+01
45;0.450000;-1.175833e+01;6.128771e+00;-3.227141e+00;-5.826917e+00;-1.125902e+01;-1.059258e+01;-3.959902e-02;-5.464562e+00;-8.406849e+00;-1.011177e+01;-1.562603e+01;-1.664407e+01
46;0.460000;-1.513317e+01;5.171038e+00;-3.605707e+00;-7.864114e+00;-1.510081e+01;-1.344977e+01;-3.356602e+00;-8.555888e+00;-1.130310e+01;-1.162508e+01;-1.709843e+01;-1.182268e+01
47;0.470000;-1.810078e+01;5.136801e+00;-4.747323e+00;-9.761761e+00;-1.606864e+01;-1.343908e+01;-4.778432e+00;-1.159328e+01;-1.091961e+01;-1.168917e+01;-1.565414e+01;-1.083203e+01
48;0.480000;-2.091915e+01;4.835238e+00;-4.692481e+00;-9.931651e+00;-1.865990e+01;-1.506966e+01;-3.431412e+00;-8.971740e+00;-9.363688e+00;-1.595226e+01;-1.810726e+01;-1.022461e+01
49;0.490000;-2.177243e+01;5.828087e+00;-4.091936e+00;-8.101073e+00;-1.664530e+01;-1.650234e+01;-3.136017e+00;-9.902718e+00;-1.019263e+01;-1.498102e+01;-1.560139e+01;-1.132780e+01
50;0.500000;-1.960701e+01;4.505198e+00;-3.823889e+00;-1.130702e+01;-1.526801e+01;-1.250004e+01;-4.380683e+00;-1.266586e+01;-1.124316e+01;-1.210241e+01;-1.246117e+01;-1.216418e+01
51;0.510000;-1.558239e+01;-6.918490e-03;-4.738708e+00;-1.640923e+01;-1.035760e+01;-6.996626e+00;-5.027000e+00;-1.393848e+01;-1.081771e+01;-5.668235e+00;-8.388575e+00;-1.359567e+01
52;0.520000;-1.174360e+01;-5.086846e+00;-9.265258e+00;-2.218870e+01;-1.137552e+01;-2.252442e+00;-5.394701e+00;-1.361656e+01;-1.028955e+01;-4.945652e+00;-1.081691e+01;-1.784908e+01
